sentence,in_task,acc
W hokeju u¿ywa siê nart,True,1
S³onecznik lubi s³oñce,True,0
MMA to mieszane sztuki walki,False,1
Ekran wyœwietla informacje. ,False,1
G³owa zawiera mózg. ,True,1
Zegarmistrz piecze potrawy,False,1
Na plastyce siê rysuje,False,1
We wrzeœniu zaczyna siê zima. ,False,1
Aloes roœnie na Ksiê¿ycu,False,1
Szympans potrafi u¿ywaæ narzêdzi,True,1
Socjolog bada spo³eczeñstwo,True,1
Klamka otwiera okno,False,1
Fryzjer obcina w³osy,True,1
Pokój dzieciêcy jest dla dzieci,False,1
O³ówek s³u¿y do pisania.,False,1
Nietoperz potrafi lataæ,True,1
Drzewa rosn¹ w górê,True,1
Miesi¹c sk³ada siê z 30 dni. ,False,1
Sarna poluje w nocy,False,1
Kurczak jest bia³ym miêsem,False,1
Góry s¹ zbudowane z wody,False,1
Dentysta leczy zêby,True,1
Kasztanowiec daje kasztany,False,1
Astronom obserwuje gwiazdy,False,1
Silnik jest w samolocie,False,1
Wêdkarze ³api¹ ryby rêkoma,True,1
Jastrz¹b potrafi p³ywaæ,False,1
Policjant pilnuje porz¹dku,True,0
Miêœnie umo¿liwiaj¹ ruch. ,False,1
Geolog bada ziemiê,False,1
Czarna dziura poch³ania œwiat³o,False,1
Do hula hoop potrzeba pi³ki,True,1
£azienka s³u¿y do k¹pieli. ,True,1
Koperek roœnie na drzewie,False,0
Bóbr jest gatunkiem ptaka,False,1
Ko³o zapasowe jest okr¹g³e,True,1
Sowa jest nocnym ptakiem,False,1
Szalik siê nosi w zimie,True,0
Garnitur jest strojem formalnym,True,1
Ping pong nie wymaga paletek,True,1
Zbiornik paliwa jest z papieru,False,0
Ciekawoœæ motywuje ludzi,False,1
Rzut dyskiem to uderzanie pi³k¹,False,1
Karaluch jest ssakiem,True,1
Gwiazda to kula gazowa,True,1
Jab³oñ daje jab³ka,False,0
Piekarz pracuje na recepcji,True,1
Na geografii uczy siê o ziemi,False,1
W œwietlicy buduje siê samoloty,False,1
Dziobak to ssak wodny,True,0
Wigilia jest w grudniu,False,1
Liœcie zmieniaj¹ kolor jesieni¹,False,1
£ucznictwo sportowe wymaga ³uku,True,1
Têtnica prowadzi krew z serca. ,True,0
Komputer s³u¿y do liczenia,False,1
Kostka do gry s³u¿y do pisania,True,1
Angielski to nauka jêzyka obcego,True,0
Bo¿e Narodzenie jest w maju,True,1
Orka to ssak wodny,True,1
Jagniêcina to miêso z kury,False,1
Paj¹k potrafi lataæ,True,1
Pluton jest najbli¿ej S³oñca,True,0
Owca to zwierzê roœlino¿erne,True,0
Ziemniaki rosn¹ pod ziemi¹,True,1
Mak roœnie na polu,False,1
Pi³ka no¿na wymaga pi³ki,True,1
Rajstopy s¹ noszone na rêce. ,False,1
Muzyka to nauka o dŸwiêkach,True,0
Ratownik sprzedaje bi¿uteriê,True,1
P³uca umo¿liwiaj¹ oddychanie. ,False,1
Krawiec szyje ubrania,False,0
Akwarele to farby wodne,False,1
Jubiler sprz¹ta pokoje,True,0
Kozaki to rodzaj obuwia,True,1
Palec u nogi jest ró¿owy,False,1
Woda jest niezbêdna do ¿ycia,True,1
Banany rosn¹ na drzewach,True,1
W paintballu u¿ywa siê kulek,True,1
Koza daje mleko,False,1
Mors p³ywa w wodzie,True,0
Tygrys to ssak,True,0
Pielêgniarka dba o pacjentów ,True,1
Nozdrza umo¿liwiaj¹ oddychanie.,False,1
Koœci tworz¹ szkielet,True,0
Plecy ³¹cz¹ tu³ów z g³ow¹. ,False,1
Terapeuta gotuje obiady,True,0
Szczur to gatunek ptaka,False,1
Jêzyk umo¿liwia smakowanie. ,False,1
Jednoro¿ec jest istot¹ mityczn¹,False,1
Paznokcie s¹ naturalnie zielone,True,1
Ptak potrafi lataæ,False,0
Historia opowiada o przesz³oœci,True,1
Hydraulik tañczy na rurze,True,1
Pokojówka uczy nurkowania,True,1
Matematyka to nauka liczb,True,1
Roleta zas³ania okno. ,True,1
Kapibara to gatunek ma³py,False,1
Mechanik naprawia samochody,False,1
Przedpokój to wejœcie do pokoju,True,1
Ramiona s¹ czêœci¹ nóg. ,False,1
Artysta tworzy dzie³a sztuki. ,True,1
D³oñ sk³ada siê z palców. ,False,1
Lama mieszka w wodzie,False,1
Kucharz gotuje posi³ki,False,0
Geodeta piecze ciasta,False,1
Bu³ki to rodzaj miêsa,True,1
Woda smakuje jak kawa,False,1
Paznokcie chroni¹ palce. ,False,1
Foka ¿yje na l¹dzie,True,1
Kwiat umie tañczyæ,True,1
D³oñ umo¿liwia chwytanie.,False,1
Grawitacja odpycha przedmioty,False,0
Na olimpiadzie ka¿dy wygrywa,True,1
Bocian przynosi dzieci,True,1
Szorty s¹ popularne latem. ,True,1
Weterynarz leczy zwierzêta ,True,1
Paproæ jest niebieska,False,1
Przedsiêbiorca prowadzi firmê,True,1
Programista pisze programy ,True,1
Ochroniarz buduje budynki,True,1
Architekt projektuje budynki ,False,1
Wiewiórka potrafi p³ywaæ,True,1
